# ClientOption

"config.client.introRoleTextBold" : "开场界面职业文本粗体"

# Certification

"certification.notification" : "%PLAYER%%REASON%！"
"certification.unmatchedAddon.extra" : "冗余插件"
"certification.unmatchedAddon.missing" : "丢失插件"
"certification.unmatchedAddon.hashMismatched" : "哈希不匹配插件"

# LobbyRule

"ui.lobbyRules.noTitle" : "房间规则"
"ui.lobbyRules.host" : "主持人"
"ui.lobbyRules.confirmation" : "确认"
"ui.lobbyRules.back" : "返回"
"ui.lobbyRules.rule" : "请填写房规。"
"ui.lobbyRules.fieldNoText" : "输入框不能为空。"
"ui.lobbyRules.selectFileSuccessfully" : "%FILE%被设为当前房规。"
"ui.lobbyRules.noTextError" : "房规无内容。"

# TimeMoment

"role.timeMoment.meetingButtonText" : "危险悄然降临..."

# Round

"game.end.round" : "共%ROUND%轮"
"game.player.deadRound" : "第%ROUND%轮"

# Help

"help.command.showRule" : "显示房规"

# Action

"input.pass" : "传递行动"
"input.pass.detail" : "该行动用于炸弹王的炸弹传递。"
